Speaker_Start,Speaker_Stop,Speaker,Subtitle_Start,Subtitle_End,Text,Global_ID,File,Group_id,C_Name
"00:05:21,199","00:05:22,399",31,"00:05:20,560","00:05:22,560",I'll go anyway.,,1,group_14,MoominMama
"00:05:29,300","00:05:30,500",16,"00:05:28,560","00:05:31,560",Snuff gun!,,1,group_3,Snuffkin
"00:05:39,000","00:05:39,699",16,"00:05:37,560","00:05:39,560","Jack Arley, weren't you having a good time?",,1,group_3,Snuffkin
"00:05:53,699","00:05:53,800",16,"00:05:52,560","00:05:54,560",I don't think he'll like it.,,1,group_3,Snuffkin
"00:06:24,300","00:06:24,500",34,"00:06:23,560","00:06:25,560","Like what, Momen?",,1,group_6,LittleMy
"00:06:24,600","00:06:25,000",34,"00:06:23,560","00:06:25,560","Like what, Momen?",,1,group_6,LittleMy
"00:06:25,100","00:06:25,100",34,"00:06:23,560","00:06:25,560","Like what, Momen?",,1,group_6,LittleMy
"00:06:25,600","00:06:26,000",13,"00:06:25,560","00:06:28,560",I can think of more exciting things to do than this.,,1,group_4,Moomintroll
"00:06:26,699","00:06:29,100",34,"00:06:25,560","00:06:28,560",I can think of more exciting things to do than this.,,1,group_6,LittleMy
"00:06:29,399","00:06:29,399",45,"00:06:28,560","00:06:32,560","Well, let's imagine that we're the first ever to climb this mountain.",,1,group_17,Sniff
"00:06:29,899","00:06:29,899",45,"00:06:28,560","00:06:32,560","Well, let's imagine that we're the first ever to climb this mountain.",,1,group_17,Sniff
"00:06:30,000","00:06:30,000",16,"00:06:28,560","00:06:32,560","Well, let's imagine that we're the first ever to climb this mountain.",,1,group_3,Snuffkin
"00:06:30,100","00:06:30,199",16,"00:06:28,560","00:06:32,560","Well, let's imagine that we're the first ever to climb this mountain.",,1,group_3,Snuffkin
"00:06:30,199","00:06:30,300",45,"00:06:28,560","00:06:32,560","Well, let's imagine that we're the first ever to climb this mountain.",,1,group_17,Sniff
"00:06:30,300","00:06:32,800",16,"00:06:28,560","00:06:32,560","Well, let's imagine that we're the first ever to climb this mountain.",,1,group_3,Snuffkin
"00:06:38,100","00:06:38,399",16,"00:06:36,560","00:06:38,560",when we get to the top and the sea.,,1,group_3,Snuffkin
"00:06:46,399","00:06:49,699",20,"00:06:45,560","00:06:48,560","Morning, Mum, and are your father and mother up?",,1,group_11,Hemul
"00:06:52,800","00:06:53,000",20,"00:06:52,560","00:06:53,560",Good.,,1,group_11,Hemul
"00:06:57,399","00:06:57,399",14,"00:06:56,560","00:06:57,560",We like it.,,1,group_16,Alicia and her grandma
"00:07:07,100","00:07:09,800",34,"00:07:05,560","00:07:09,560",Why do they always have to do something exciting?,,1,group_6,LittleMy
"00:07:13,600","00:07:14,100",45,"00:07:13,560","00:07:15,560",What a gorgeous view.,,1,group_17,Sniff
"00:07:14,100","00:07:14,399",34,"00:07:13,560","00:07:15,560",What a gorgeous view.,,1,group_6,LittleMy
"00:07:14,399","00:07:15,000",45,"00:07:13,560","00:07:15,560",What a gorgeous view.,,1,group_17,Sniff
"00:07:15,000","00:07:15,199",34,"00:07:13,560","00:07:15,560",What a gorgeous view.,,1,group_6,LittleMy
"00:07:15,199","00:07:15,300",45,"00:07:13,560","00:07:15,560",What a gorgeous view.,,1,group_17,Sniff
"00:07:15,300","00:07:15,300",34,"00:07:13,560","00:07:15,560",What a gorgeous view.,,1,group_6,LittleMy
"00:07:18,500","00:07:21,000",34,"00:07:17,560","00:07:21,560","Hey, look, they're small coming from Mum and House.",,1,group_6,LittleMy
"00:07:22,199","00:07:22,199",34,"00:07:21,560","00:07:23,560",We should have stayed at home.,,1,group_6,LittleMy
"00:07:27,000","00:07:27,100",45,"00:07:26,560","00:07:27,560",Look.,,1,group_17,Sniff
"00:07:27,399","00:07:27,600",45,"00:07:26,560","00:07:27,560",Look.,,1,group_17,Sniff
"00:07:29,100","00:07:32,300",45,"00:07:28,560","00:07:30,560",We're not the first here after all.,,1,group_17,Sniff
"00:07:34,600","00:07:36,199",13,"00:07:34,560","00:07:35,560",Top hat.,,1,group_4,Moomintroll
"00:07:41,600","00:07:41,600",34,"00:07:41,560","00:07:43,560",I wonder who's how it is.,,1,group_6,LittleMy
"00:07:42,300","00:07:43,899",34,"00:07:41,560","00:07:43,560",I wonder who's how it is.,,1,group_6,LittleMy
"00:07:46,699","00:07:49,100",45,"00:07:46,560","00:07:49,560","I don't know, but I know Papa would like it.",,1,group_17,Sniff
"00:07:54,600","00:07:57,300",10,"00:07:54,560","00:07:57,560","Hmm, it's much too big.",,1,group_7,background_song
"00:08:01,699","00:08:03,899",10,"00:08:01,560","00:08:03,560","Oh dear, what's it?",,1,group_7,background_song
"00:08:06,000","00:08:06,000",13,"00:08:04,560","00:08:06,560",It really gets inside.,,1,group_4,Moomintroll
"00:08:24,800","00:08:28,100",10,"00:08:24,560","00:08:26,560","Oh, that's enough nonsense.",,1,group_7,background_song
"00:08:32,200","00:08:35,200",10,"00:08:30,560","00:08:32,560",What's the matter?,,1,group_7,background_song
"00:08:39,200","00:08:41,200",10,"00:08:38,560","00:08:39,560",I'll give you a hand.,,1,group_7,background_song
"00:08:46,700","00:08:48,799",10,"00:08:46,560","00:08:48,560","Oh, that's better.",,1,group_7,background_song
"00:08:51,000","00:08:53,000",45,"00:08:50,560","00:08:53,560","Papa's head got stuck in the hat, Mum.",,1,group_17,Sniff
"00:08:55,100","00:08:59,500",10,"00:08:53,560","00:08:55,560","Oh, yes, and where did that come from?",,1,group_7,background_song
"00:09:00,100","00:09:01,399",45,"00:08:56,560","00:09:00,560",The children found it when they were out and brought it back for me.,,1,group_17,Sniff
"00:09:05,100","00:09:07,399",10,"00:09:03,560","00:09:05,560","What shall we do with it, Papa?",,1,group_7,background_song
"00:09:07,399","00:09:08,899",45,"00:09:05,560","00:09:07,560",There is something strange about it.,,1,group_17,Sniff
"00:09:09,700","00:09:09,700",45,"00:09:09,560","00:09:12,560","Oh, no, it's too good for that.",,1,group_17,Sniff
"00:09:12,799","00:09:14,799",10,"00:09:12,560","00:09:14,560",Do we know anyone with a very big hand?,,1,group_7,background_song
"00:09:19,799","00:09:20,000",10,"00:09:19,560","00:09:23,560","Ah, it's a...",,1,group_7,background_song
"00:09:48,399","00:09:49,299",15,"00:09:47,560","00:09:49,560",Beautiful.,,1,group_8,Moomintroll
"00:09:49,299","00:09:49,299",14,"00:09:47,560","00:09:49,560",Beautiful.,,1,group_16,Alicia and her grandma
"00:10:12,500","00:10:12,500",15,"00:10:11,560","00:10:12,560",Uh-huh.,,1,group_8,Moomintroll
"00:10:16,799","00:10:16,799",15,"00:10:16,560","00:10:17,560",Uh-huh.,,1,group_8,Moomintroll
"00:10:23,600","00:10:23,700",15,"00:10:23,560","00:10:25,560","It'll be ready this year, you'll see.",,1,group_8,Moomintroll
"00:10:24,299","00:10:24,299",15,"00:10:23,560","00:10:25,560","It'll be ready this year, you'll see.",,1,group_8,Moomintroll
"00:10:24,299","00:10:25,399",15,"00:10:23,560","00:10:25,560","It'll be ready this year, you'll see.",,1,group_8,Moomintroll
"00:10:47,200","00:10:47,200",45,"00:10:45,560","00:10:47,560",A little bit more.,,1,group_17,Sniff
"00:10:51,000","00:10:52,100",31,"00:10:50,560","00:10:52,560","Silly, of course you can't.",,1,group_14,MoominMama
"00:10:56,799","00:10:56,799",45,"00:10:55,560","00:10:57,560",Dreams are all right.,,1,group_17,Sniff
"00:11:01,000","00:11:02,100",45,"00:11:00,560","00:11:02,560",I suppose so.,,1,group_17,Sniff
"00:11:07,899","00:11:11,600",31,"00:11:07,560","00:11:10,560","Snuff, you're not still feeding your face, are you?",,1,group_14,MoominMama
"00:11:12,799","00:11:16,000",34,"00:11:12,560","00:11:16,560","Only nightmares about having no food at all, little, my.",,1,group_6,LittleMy
"00:11:22,799","00:11:25,500",10,"00:11:21,560","00:11:25,560","Hmm, I wonder who dropped this.",,1,group_7,background_song
"00:11:25,700","00:11:28,000",10,"00:11:25,560","00:11:28,560",Now where can I put it?,,1,group_7,background_song
"00:11:28,899","00:11:30,100",10,"00:11:28,560","00:11:31,560","Oh, there you are.",,1,group_7,background_song
"00:11:30,600","00:11:33,500",10,"00:11:28,560","00:11:31,560","Oh, there you are.",,1,group_7,background_song
"00:12:25,500","00:12:26,500",15,"00:12:24,560","00:12:26,560",Can I try?,,1,group_8,Moomintroll
"00:12:27,500","00:12:27,799",15,"00:12:26,560","00:12:28,560","Are you ready, Snork Maiden?",,1,group_8,Moomintroll
"00:12:28,299","00:12:28,299",15,"00:12:26,560","00:12:28,560","Are you ready, Snork Maiden?",,1,group_8,Moomintroll
"00:12:31,200","00:12:31,500",15,"00:12:28,560","00:12:31,560",Here we go.,,1,group_8,Moomintroll
"00:13:09,299","00:13:11,100",43,"00:13:08,560","00:13:13,560","Mumen Papa is in his study, trying to write his memoirs.",,1,group_2,background_song
"00:13:11,399","00:13:13,000",43,"00:13:08,560","00:13:13,560","Mumen Papa is in his study, trying to write his memoirs.",,1,group_2,background_song
"00:13:17,399","00:13:18,200",43,"00:13:14,560","00:13:17,560",A lot has happened to him over the years.,,1,group_2,background_song
"00:13:19,200","00:13:20,799",43,"00:13:17,560","00:13:19,560",An awful lot.,,1,group_2,background_song
"00:13:28,700","00:13:29,500",10,"00:13:28,560","00:13:31,560",What was that?,,1,group_7,background_song
"00:13:32,299","00:13:32,899",10,"00:13:31,560","00:13:33,560",Mumen.,,1,group_7,background_song
"00:13:33,399","00:13:34,700",16,"00:13:31,560","00:13:33,560",Mumen.,,1,group_3,Snuffkin
"00:13:34,200","00:13:36,000",10,"00:13:33,560","00:13:34,560","Hi, Papa.",,1,group_7,background_song
"00:13:36,399","00:13:39,399",16,"00:13:34,560","00:13:36,560",What are you doing out there?,,1,group_3,Snuffkin
"00:13:40,500","00:13:44,000",10,"00:13:37,560","00:13:40,560",The clouds just came out of the house.,,1,group_7,background_song
"00:13:44,399","00:13:45,299",10,"00:13:43,560","00:13:45,560",Oh.,,1,group_7,background_song
"00:13:52,299","00:13:54,000",10,"00:13:50,560","00:13:52,560",You feel like a bird.,,1,group_7,background_song
"00:13:56,399","00:13:56,500",14,"00:13:54,560","00:13:56,560","Come on, Papa. Jump or you'll fall.",,1,group_16,Alicia and her grandma
"00:13:56,500","00:13:56,500",14,"00:13:54,560","00:13:56,560","Come on, Papa. Jump or you'll fall.",,1,group_16,Alicia and her grandma
"00:13:56,500","00:13:57,899",10,"00:13:54,560","00:13:56,560","Come on, Papa. Jump or you'll fall.",,1,group_7,background_song
"00:13:57,299","00:13:59,799",14,"00:13:56,560","00:13:58,560",I think it's too late.,,1,group_16,Alicia and her grandma
"00:14:10,700","00:14:15,299",10,"00:14:10,560","00:14:11,560",Yes.,,1,group_7,background_song
"00:14:22,899","00:14:24,399",14,"00:14:22,560","00:14:24,560","Come on, Snapping.",,1,group_16,Alicia and her grandma
"00:14:26,600","00:14:26,600",13,"00:14:26,560","00:14:27,560",Damn.,,1,group_4,Moomintroll
"00:14:26,600","00:14:28,000",14,"00:14:26,560","00:14:27,560",Damn.,,1,group_16,Alicia and her grandma
"00:14:29,399","00:14:29,500",14,"00:14:28,560","00:14:30,560","I won, I won.",,1,group_16,Alicia and her grandma
"00:14:29,600","00:14:29,700",14,"00:14:28,560","00:14:30,560","I won, I won.",,1,group_16,Alicia and her grandma
"00:14:29,799","00:14:29,899",14,"00:14:28,560","00:14:30,560","I won, I won.",,1,group_16,Alicia and her grandma
"00:14:41,200","00:14:41,500",13,"00:14:39,560","00:14:41,560",And I'm going to climb right up here.,,1,group_4,Moomintroll
"00:15:08,000","00:15:08,799",33,"00:15:07,560","00:15:09,560",My cloud's starting to go.,G05,1,group_15,Snuffkin
"00:15:12,299","00:15:14,600",33,"00:15:11,560","00:15:14,560","Yeah, it was, but I wasn't ready to stop.",G05,1,group_15,Snuffkin
"00:15:17,299","00:15:18,799",33,"00:15:16,560","00:15:17,560",Hey.,G05,1,group_15,Snuffkin
"00:15:19,299","00:15:21,600",33,"00:15:17,560","00:15:21,560",Why have they still got cloud snuffed in?,G05,1,group_15,Snuffkin
"00:16:25,000","00:16:25,200",13,"00:16:24,560","00:16:27,560",She hit!,,1,group_4,Moomintroll
"00:16:25,500","00:16:26,399",13,"00:16:24,560","00:16:27,560",She hit!,,1,group_4,Moomintroll
"00:16:26,600","00:16:47,500",13,"00:16:24,560","00:16:27,560",She hit!,,1,group_4,Moomintroll
"00:16:51,899","00:16:52,500",13,"00:16:51,560","00:16:52,560",Gotcha!,,1,group_4,Moomintroll
"00:16:56,399","00:16:56,500",13,"00:16:55,560","00:16:57,560",Huh?,,1,group_4,Moomintroll
"00:16:56,899","00:17:15,000",13,"00:16:55,560","00:16:57,560",Huh?,,1,group_4,Moomintroll
"00:17:15,599","00:17:15,900",13,"00:17:15,560","00:17:19,560",Hehehe!,,1,group_4,Moomintroll
"00:17:16,400","00:17:17,000",13,"00:17:15,560","00:17:19,560",Hehehe!,,1,group_4,Moomintroll
"00:17:17,099","00:17:19,200",13,"00:17:15,560","00:17:19,560",Hehehe!,,1,group_4,Moomintroll
"00:17:19,500","00:17:21,799",13,"00:17:15,560","00:17:19,560",Hehehe!,,1,group_4,Moomintroll
"00:17:26,599","00:17:29,799",31,"00:17:25,560","00:17:29,560","Well, last time I saw him, he was hiding in the fireplace.",,1,group_14,MoominMama
"00:17:30,299","00:17:31,599",31,"00:17:29,560","00:17:31,560",Have you found him yet?,,1,group_14,MoominMama
"00:17:31,599","00:17:32,000",34,"00:17:31,560","00:17:33,560",No. Have you looked in the cellar?,,1,group_6,LittleMy
"00:17:32,400","00:17:33,799",31,"00:17:31,560","00:17:33,560",No. Have you looked in the cellar?,,1,group_14,MoominMama
"00:17:34,099","00:17:35,000",34,"00:17:33,560","00:17:35,560","Yes, I have.",,1,group_6,LittleMy
"00:17:35,099","00:17:35,099",34,"00:17:33,560","00:17:35,560","Yes, I have.",,1,group_6,LittleMy
"00:17:41,799","00:17:41,799",34,"00:17:41,560","00:17:43,560",G.I. better go home.,,1,group_6,LittleMy
"00:17:42,000","00:17:42,599",34,"00:17:41,560","00:17:43,560",G.I. better go home.,,1,group_6,LittleMy
"00:17:43,000","00:17:43,400",34,"00:17:41,560","00:17:43,560",G.I. better go home.,,1,group_6,LittleMy
"00:17:43,900","00:17:45,599",34,"00:17:43,560","00:17:45,560","Oh, is there anything wrong?",,1,group_6,LittleMy
"00:17:46,000","00:17:51,200",34,"00:17:45,560","00:17:48,560",Yes. I can't find Moomin anywhere.,,1,group_6,LittleMy
"00:18:03,000","00:18:04,700",16,"00:18:02,560","00:18:04,560","Well, here I am, sniff.",,1,group_3,Snuffkin
"00:18:09,299","00:18:09,299",16,"00:18:08,560","00:18:10,560",I one land didn't I?,,1,group_3,Snuffkin
"00:18:17,099","00:18:17,500",45,"00:18:16,560","00:18:18,560",I don't want to find you anyway!,,1,group_17,Sniff
"00:18:31,200","00:18:33,599",34,"00:18:30,560","00:18:32,560",You're too ugly to be the king of anything.,,1,group_6,LittleMy
"00:18:34,200","00:18:35,099",45,"00:18:32,560","00:18:36,560","Well, now, that's not a very nice thing to say to your friend.",,1,group_17,Sniff
"00:18:35,400","00:18:37,900",45,"00:18:32,560","00:18:36,560","Well, now, that's not a very nice thing to say to your friend.",,1,group_17,Sniff
"00:18:37,900","00:18:38,900",45,"00:18:36,560","00:18:38,560","Is it, Papa?",,1,group_17,Sniff
"00:18:39,299","00:18:42,700",10,"00:18:38,560","00:18:42,560","Now, you'd better tell me what you have done with Moomin, huh?",,1,group_7,background_song
"00:18:43,000","00:18:43,900",45,"00:18:42,560","00:18:44,560",But I'm here.,,1,group_17,Sniff
"00:18:44,299","00:18:44,900",10,"00:18:42,560","00:18:44,560",But I'm here.,,1,group_7,background_song
"00:18:45,500","00:18:46,200",45,"00:18:44,560","00:18:46,560",Right here.,,1,group_17,Sniff
"00:18:46,599","00:18:49,599",10,"00:18:46,560","00:18:50,560",Who are you? And where is Moomin?,,1,group_7,background_song
"00:18:55,000","00:18:56,900",10,"00:18:54,560","00:18:56,560",I'm certainly not your Papa.,,1,group_7,background_song
"00:19:10,099","00:19:11,000",15,"00:19:08,560","00:19:10,560",Ah!,,1,group_8,Moomintroll
"00:19:11,000","00:19:13,500",14,"00:19:10,560","00:19:12,560",Where's my nose gone?,,1,group_16,Alicia and her grandma
"00:19:15,500","00:19:17,700",14,"00:19:14,560","00:19:16,560",Ah! Oh no!,,1,group_16,Alicia and her grandma
"00:19:27,500","00:19:30,700",13,"00:19:26,560","00:19:28,560",This is terrible!,,1,group_4,Moomintroll
"00:19:35,599","00:19:35,599",16,"00:19:34,560","00:19:36,560",Who are you?,,1,group_3,Snuffkin
"00:19:35,599","00:19:36,000",13,"00:19:34,560","00:19:36,560",Who are you?,,1,group_4,Moomintroll
"00:19:36,000","00:19:42,799",16,"00:19:34,560","00:19:36,560",Who are you?,,1,group_3,Snuffkin
"00:19:43,099","00:19:45,000",16,"00:19:42,560","00:19:46,560","Go away, you're horrible!",,1,group_3,Snuffkin
"00:19:45,000","00:19:46,500",13,"00:19:42,560","00:19:46,560","Go away, you're horrible!",,1,group_4,Moomintroll
"00:19:46,500","00:19:46,900",13,"00:19:42,560","00:19:46,560","Go away, you're horrible!",,1,group_4,Moomintroll
"00:19:57,500","00:19:57,500",10,"00:19:56,560","00:19:58,560",What earth is this?,,1,group_7,background_song
"00:19:57,599","00:20:00,099",10,"00:19:56,560","00:19:58,560",What earth is this?,,1,group_7,background_song
"00:20:03,299","00:20:03,299",16,"00:20:02,560","00:20:04,560","I am, I am.",,1,group_3,Snuffkin
"00:20:03,700","00:20:03,799",16,"00:20:02,560","00:20:04,560","I am, I am.",,1,group_3,Snuffkin
"00:20:07,000","00:20:07,000",16,"00:20:06,560","00:20:08,560",I am Moomin.,,1,group_3,Snuffkin
"00:20:28,099","00:20:36,599",16,"00:20:26,560","00:20:28,560",Just give me a minute or two and I'll know.,,1,group_3,Snuffkin
"00:20:57,700","00:20:58,700",33,"00:20:56,560","00:20:58,560",Mama!,G05,1,group_15,Snuffkin
"00:21:20,700","00:21:20,799",13,"00:21:20,560","00:21:22,560",Oh.,,1,group_4,Moomintroll
"00:21:20,799","00:21:20,799",10,"00:21:20,560","00:21:22,560",Oh.,,1,group_7,background_song
"00:21:20,799","00:21:21,000",13,"00:21:20,560","00:21:22,560",Oh.,,1,group_4,Moomintroll
"00:21:21,000","00:21:21,700",10,"00:21:20,560","00:21:22,560",Oh.,,1,group_7,background_song
"00:21:26,099","00:21:27,099",15,"00:21:25,560","00:21:28,560","Oh, Moomin.",,1,group_8,Moomintroll
"00:21:28,900","00:21:29,799",15,"00:21:28,560","00:21:29,560",Papa.,,1,group_8,Moomintroll
"00:21:29,799","00:21:29,799",15,"00:21:29,560","00:21:31,560","Oh, Moomin, my boy.",,1,group_8,Moomintroll
"00:21:29,799","00:21:33,799",10,"00:21:29,560","00:21:31,560","Oh, Moomin, my boy.",,1,group_7,background_song
"00:21:34,200","00:21:34,200",15,"00:21:33,560","00:21:35,560",In there.,,1,group_8,Moomintroll
"00:21:34,900","00:21:35,000",15,"00:21:33,560","00:21:35,560",In there.,,1,group_8,Moomintroll
"00:21:36,200","00:21:36,700",10,"00:21:35,560","00:21:37,560",In the hat?,,1,group_7,background_song
"00:21:46,000","00:21:47,599",43,"00:21:45,560","00:21:49,560",Let's hope it's the last we'll see of it.,,1,group_2,background_song
"00:21:49,900","00:21:55,299",43,"00:21:49,560","00:21:53,560","Moomin Papa decided that although it was a fine hat,",,1,group_2,background_song
"00:21:55,700","00:21:59,200",43,"00:21:55,560","00:21:59,560",So Moomin threw it in the river and it floated away.,,1,group_2,background_song
"00:21:59,900","00:22:01,500",43,"00:21:59,560","00:22:01,560","He wasn't too sure about it though,",,1,group_2,background_song
"00:22:01,799","00:22:04,500",43,"00:22:01,560","00:22:05,560",because it was a rather special hat.,,1,group_2,background_song
"00:23:30,500","00:23:32,000",23,"00:23:27,560","00:23:31,560",The Moomin's are about to call.,G03,1,group_10,Hemul
"00:25:04,900","00:25:07,200",43,"00:25:01,560","00:25:05,560",There were the Moomin's.,,1,group_2,background_song
"00:25:07,900","00:25:14,500",43,"00:25:05,560","00:25:09,560",Snuffkin is put up his tent on the riverbank.,,1,group_2,background_song
"00:25:16,099","00:25:20,299",43,"00:25:12,560","00:25:16,560",Snuffkin is a happy and a peace with the world.,,1,group_2,background_song
"00:25:21,400","00:25:21,400",45,"00:25:16,560","00:25:22,560",Moomin loves to spend as much time as he can as a friend as Snuffkin.,,1,group_17,Sniff
"00:25:28,000","00:25:30,299",45,"00:25:26,560","00:25:28,560",Where are you?,,1,group_17,Sniff
"00:25:33,000","00:25:37,000",45,"00:25:32,560","00:25:36,560",How can he enjoy being here on his own?,,1,group_17,Sniff
"00:25:41,099","00:25:41,500",45,"00:25:40,560","00:25:41,560",Maiden.,,1,group_17,Sniff
"00:25:41,500","00:25:41,500",45,"00:25:40,560","00:25:41,560",Maiden.,,1,group_17,Sniff
"00:25:47,000","00:25:54,500",31,"00:25:45,200","00:25:47,480","You are the one that said it, you know.",,1,group_14,MoominMama
"00:25:55,000","00:25:56,400",31,"00:25:54,960","00:25:56,280","Come on, it'll be fun.",,1,group_14,MoominMama
"00:25:56,400","00:25:57,299",45,"00:25:56,280","00:25:57,120","Oh, no.",,1,group_17,Sniff
"00:25:57,000","00:25:57,200",31,"00:25:56,280","00:25:57,120","Oh, no.",,1,group_14,MoominMama
"00:26:14,000","00:26:16,200",45,"00:26:13,960","00:26:23,600",I wonder if we'll ever find anything as exciting as the hat.,,1,group_17,Sniff
"00:26:19,500","00:26:23,299",34,"00:26:13,960","00:26:23,600",I wonder if we'll ever find anything as exciting as the hat.,,1,group_6,LittleMy
"00:26:23,599","00:26:26,000",45,"00:26:13,960","00:26:23,600",I wonder if we'll ever find anything as exciting as the hat.,,1,group_17,Sniff
"00:26:26,200","00:26:26,299",45,"00:26:23,600","00:26:26,200","Yeah, it was very special that hat.",,1,group_17,Sniff
"00:26:26,299","00:26:27,799",34,"00:26:26,200","00:26:28,320",Did you really throw it in the river?,,1,group_6,LittleMy
