start	end	text
550040	557040	further out we must be far enough by now I'm tired no the currents could still drag her
557040	561040	in from here keep going
568040	575040	he looks very unhappy we've got to cheer him up but how is only one way Bob yet you're
575040	578040	right thing to me
586040	594040	hello look so sad moment that we thought we try make you happy again
594040	602040	you don't mind do you know but you don't have to I'm all right really
602040	607040	how about this then moment we're going to show you what's in our suitcase
607040	615040	would you like that moment it's very interesting oh my gosh will you
615040	626040	do you need some help in there no I think we can manage
634040	644040	now we'll open it yes now one two three oh gosh by my tail
644040	651040	do you like it oh boy do I like it then you're not sad anymore then oh no
651040	664040	that's good isn't it it was such a beautiful ruby how it changed color from soft red
664040	669040	to sapphire blue and then to pink one minute it was like a flame leaping out of the
669040	674040	center then suddenly it was like a blood tulip it was perhaps that's the king's
674040	681040	ruby it was just beautiful that's the one the hob goblin the searching for oh
681040	687040	no however far away is he'll come back on his black panther looking for it and he's
687040	692040	sure to find it because he'll know that thing of me and Bob have it first the
692040	701040	groke and allow the hob goblin what are we going to do no more than a week
701040	714040	later and like a bolt from the blue a real catastrophe hit mumen valley no it's not
714040	719880	in the bedroom either that's very odd where did you see it last I'm sure it was
719880	726880	here somewhere pop up well perhaps it's in the garden no I haven't been out
726880	733880	here all day mumen mama's handbag is missing full of useful things like socks and
733880	742880	sweets and string what's the matter mama I can't find my handbag and I'm lost
742880	748880	without it we've looked everywhere will I get a reward if I find it mumen mama yes
748880	753880	we'll have a big party for everyone with cakes jelly and everything and it's a
753880	760880	special treat no one has to wash or go to bed early I'll find it mama no I will
765880	771880	mumen mama I've checked the seller it's not there oh dear where can it be I haven't
771880	775880	been in the seller for days so I didn't think it would be there but thank you dear
775880	782880	snorke
786880	791880	word got round mumen valley of the missing handbag and soon everyone was helping
791880	794880	to look for it
794880	800880	what a lot of people I would do what they're looking for
806880	813880	what's everybody looking for my handbag thing of me the one with the two
813880	818880	nice little pockets yes that's the one it's been missing for days will you
818880	822880	to help us look
822880	829880	it makes such a lovely place to sleep and don't you think
829880	836880	mumen mama looks very sad perhaps we better give it back
836880	858880	oh you found it look everybody think of me and Bob have found it
858880	869880	oh thank you where on earth did you find it in the bush under the white
869880	877880	birch tree let's have a party tonight to celebrate the return of mama's
877880	884880	handbag as you all know this party is in honor of thing of me and Bob finding
884880	889880	mumen mama's handbag and to thank everyone who took part in the big search
889880	894880	let's raise our glasses to our heroes is to think of me and Bob who found
894880	899880	mumen mama's handbag without which mumen valley would never be the same again
899880	908880	cheers
909880	913880	now I think moment would like to say a few words
913880	919880	we're very pleased mumen's handbag is back again and thank you to our northern friends
919880	923880	think of me and Bob you're seeing as how this is a very special occasion
923880	927880	and also as a thank you for the party they have decided to show us what is in
927880	931880	their suitcase and I'm sure you'll all be astounded by what you see
931880	936880	come closer everyone now think of me and Bob are you ready
938880	950880	everyone ready everyone what do you think how wonderful I don't know how the
950880	959880	growth could swap that for an old seashell my my that must be the king's
959880	979880	ruby the king's ruby I found it
979880	989880	yes this is it the ruby I've sworn to find
989880	995880	don't touch it it's ours go away you nasty hub goblin but that king's ruby
995880	1001880	belongs only to me no it doesn't the growth gave it to sing a me and Bob in fair
1001880	1006880	exchange for a heart shaped show mr. hub goblin did he say a heart shaped
1006880	1012880	shell I think so anyway I saw her give it to them with my own eyes show
1012880	1017880	it belongs to them not you I've spent 300 years day and night searching
1017880	1024880	everywhere for this ruby well that's very sad but it still is now then let's
1024880	1040880	see would you exchange the ruby for say two diamond mines no I can't do it I
1040880	1048880	can't take it by force it's been so long what can I do
1054880	1065880	would you like some punch it's very nice that's very kind of you woman mama I
1065880	1075880	haven't had any for 85 years
1075880	1082880	ah quince that's part of it mr. hub goblin have some more please no thank you hub
1082880	1087880	goblins don't really drink very much well this is a splendid punch and a splendid
1087880	1094880	party in return I shall show you a little magic I will give out three presents now
1094880	1099880	what I can do is grant three wishes so I want three of you to come forward and make
1099880	1107880	a wish you're not afraid are you how you look old enough not to be frightened
1107880	1115880	mr. amulet just let me think oh yes mr. hub goblin I broke the spade I borrowed
1115880	1121880	from woman papa no mr. amulet never make a proper wish I would like a new
1121880	1128880	spade if you please very well here you are oh thank you thank you very much
1128880	1139880	mr. hub goblin here you are a moment papa right who's next excuse me yes and what
1139880	1146880	can I do for you young lady well I'm afraid it might be a little difficult for me
1146880	1154880	is that really what you want please alright then close your eyes your wish has
1154880	1164880	now come true young lady oh snorke me snorke me done I wanted eyes like that
1164880	1169560	wouldn't later you think it's so beautiful do you think I'm beautiful now
1169560	1177880	moment well I will give me a mirror someone they're quite nice really
1184880	1192880	horrible horrible please mr. hub goblin please give me my eyes back I'm sorry but I can only
1192880	1202880	grant one wish per person oh that's really me no please mr. hub goblin can I make a wish now
1202880	1209880	certainly a golden chariot a rock crystal goblet anything at all a sack full of gold coins
1209880	1216880	you can be rich movement really rich I'm sorry but movements is the last wish I know why don't you
1216880	1222880	ask for two sacks of gold movement then we can have one each what do you think no sniff I know
1222880	1228880	what I'm going to wish oh man mr. hub goblin please change snorke made in size back to
1228880	1235880	her own never mind her she can see alright get the gold coins the wishes made and fulfilled
1235880	1253880	there you are have a look now next time think before you make a wish moment mr. hub goblin yes
1253880	1260880	really if you regret wishes like that why don't you make a wish for yourself I'm afraid my magic
1260880	1268880	only works for other people mr. hub goblin can we make a wish for you then please say we can't please I suppose so
1268880	1278880	please it's important very well as it is not for you we wish for a movie just like yours you shall have it
1284880	1290880	this is for you hub goblin oh thank you thank you
1290880	1305880	and so that was how after three hundred years the hub goblin search came to an end and
1305880	1312880	movement valley had never had such a celebration everyone was happy except possibly sniff
1312880	1319880	who would have quite like a sack full of gold coins
1342880	1349880	always happy and always a play the moments are having fun day after day the movies
1349880	1362880	the movies they love the laughter and they love the living the movements
1362880	1373880	the living and sharing and caring and giving the movements they're always happy and goes
1373880	1391880	it played the moments are having fun day after day the movies the movies the movies the movies
1391880	1398880	the movies the movies the movies the movies the movies the movies the movies
