Speaker_Start,Speaker_Stop,Speaker,Subtitle_Start,Subtitle_End,Text,Global_ID
"00:01:37,599","00:01:38,700",SPEAKER_43,"00:01:37,560","00:01:40,880",Have you ever heard of Moombin valley?,
"00:01:38,799","00:01:40,000",SPEAKER_43,"00:01:37,560","00:01:40,880",Have you ever heard of Moombin valley?,
"00:01:43,700","00:01:44,400",SPEAKER_43,"00:01:40,880","00:01:50,480","In winter, deep white snow covers the whole valley, and everyone goes to sleep so that they",
"00:01:44,700","00:01:47,400",SPEAKER_43,"00:01:40,880","00:01:50,480","In winter, deep white snow covers the whole valley, and everyone goes to sleep so that they",
"00:01:48,099","00:01:49,500",SPEAKER_43,"00:01:40,880","00:01:50,480","In winter, deep white snow covers the whole valley, and everyone goes to sleep so that they",
"00:01:49,900","00:01:51,400",SPEAKER_43,"00:01:40,880","00:01:50,480","In winter, deep white snow covers the whole valley, and everyone goes to sleep so that they",
"00:01:55,299","00:01:55,599",SPEAKER_43,"00:01:52,480","00:02:03,760","Look, there's a woman house.",
"00:01:56,299","00:01:57,500",SPEAKER_43,"00:01:52,480","00:02:03,760","Look, there's a woman house.",
"00:02:03,500","00:02:05,700",SPEAKER_43,"00:01:52,480","00:02:03,760","Look, there's a woman house.",
"00:02:11,400","00:02:12,199",SPEAKER_43,"00:02:03,760","00:02:11,640","This woman, our hero,",
"00:02:15,300","00:02:16,500",SPEAKER_43,"00:02:11,640","00:02:20,920","and Papa, and Mum and Mama.",
"00:02:20,699","00:02:23,800",SPEAKER_43,"00:02:11,640","00:02:20,920","and Papa, and Mum and Mama.",
"00:02:34,400","00:02:36,400",SPEAKER_43,"00:02:20,920","00:02:34,440",And this little bundle must be little my.,
"00:02:36,900","00:02:38,199",SPEAKER_43,"00:02:34,440","00:02:56,160","I think before our story starts, we'd better wake everyone up with some spring sunshine.",
"00:02:38,800","00:02:40,500",SPEAKER_43,"00:02:34,440","00:02:56,160","I think before our story starts, we'd better wake everyone up with some spring sunshine.",
"00:02:57,300","00:02:57,800",SPEAKER_13,"00:02:56,160","00:03:16,160","At last, it's spring.",
"00:02:59,300","00:03:01,000",SPEAKER_13,"00:02:56,160","00:03:16,160","At last, it's spring.",
"00:03:01,000","00:03:02,800",SPEAKER_11,"00:02:56,160","00:03:16,160","At last, it's spring.",
"00:03:12,300","00:03:13,300",SPEAKER_16,"00:02:56,160","00:03:16,160","At last, it's spring.",
"00:03:13,599","00:03:14,699",SPEAKER_16,"00:02:56,160","00:03:16,160","At last, it's spring.",
"00:03:18,000","00:03:18,300",SPEAKER_13,"00:03:16,160","00:03:24,160","Wake up everyone, it's spring time.",
"00:03:18,500","00:03:23,000",SPEAKER_13,"00:03:16,160","00:03:24,160","Wake up everyone, it's spring time.",
"00:03:35,900","00:03:37,599",SPEAKER_32,"00:03:24,160","00:03:44,480",I can't help it if I'm happy.,
"00:03:38,599","00:03:40,900",SPEAKER_32,"00:03:24,160","00:03:44,480",I can't help it if I'm happy.,
"00:03:41,199","00:03:43,599",SPEAKER_45,"00:03:24,160","00:03:44,480",I can't help it if I'm happy.,
"00:03:44,400","00:03:45,800",SPEAKER_31,"00:03:24,160","00:03:44,480",I can't help it if I'm happy.,
"00:03:46,199","00:03:53,000",SPEAKER_31,"00:03:44,480","00:03:46,280","So yeah, woke me.",
"00:03:53,000","00:03:53,800",SPEAKER_17,"00:03:51,000","00:03:54,000","Oh gee, isn't it, is it really moving?",
"00:03:53,800","00:03:54,099",SPEAKER_31,"00:03:51,000","00:03:54,000","Oh gee, isn't it, is it really moving?",
"00:03:54,099","00:03:57,699",SPEAKER_17,"00:03:54,000","00:04:01,360","Yes, it's all fresh, the flowers are out and the sun is shining, so I like being asleep.",
"00:03:58,099","00:03:58,199",SPEAKER_13,"00:03:54,000","00:04:01,360","Yes, it's all fresh, the flowers are out and the sun is shining, so I like being asleep.",
"00:03:59,300","00:04:12,000",SPEAKER_17,"00:03:54,000","00:04:01,360","Yes, it's all fresh, the flowers are out and the sun is shining, so I like being asleep.",
"00:04:12,500","00:04:12,500",SPEAKER_17,"00:04:09,160","00:04:12,640",You said you wanted to be a welcome as soon as spring was here.,
"00:04:12,500","00:04:12,500",SPEAKER_31,"00:04:09,160","00:04:12,640",You said you wanted to be a welcome as soon as spring was here.,
"00:04:12,500","00:04:13,199",SPEAKER_17,"00:04:09,160","00:04:12,640",You said you wanted to be a welcome as soon as spring was here.,
"00:04:13,300","00:04:14,500",SPEAKER_17,"00:04:12,640","00:04:13,640",Really?,
"00:04:14,800","00:04:15,300",SPEAKER_17,"00:04:14,640","00:04:18,000",Did I say something like that?,
"00:04:15,800","00:04:17,500",SPEAKER_31,"00:04:14,640","00:04:18,000",Did I say something like that?,
"00:04:17,899","00:04:21,899",SPEAKER_17,"00:04:14,640","00:04:18,000",Did I say something like that?,
"00:04:21,300","00:04:22,199",SPEAKER_31,"00:04:20,000","00:04:22,320","Nobody's making you get up, little my.",
"00:04:22,199","00:04:23,100",SPEAKER_17,"00:04:20,000","00:04:22,320","Nobody's making you get up, little my.",
"00:04:23,100","00:04:26,100",SPEAKER_31,"00:04:22,320","00:04:26,000","No, there's really no point, Mum, and I'm not sleepy anymore.",
"00:04:26,300","00:04:26,399",SPEAKER_31,"00:04:26,000","00:04:30,000","Well, there you are then.",
"00:04:26,399","00:04:27,699",SPEAKER_06,"00:04:26,000","00:04:30,000","Well, there you are then.",
"00:04:27,699","00:04:28,600",SPEAKER_31,"00:04:26,000","00:04:30,000","Well, there you are then.",
"00:04:29,600","00:04:30,500",SPEAKER_31,"00:04:26,000","00:04:30,000","Well, there you are then.",
"00:04:30,899","00:04:32,100",SPEAKER_06,"00:04:30,000","00:04:31,000",Mama!,
"00:04:32,300","00:04:32,399",SPEAKER_31,"00:04:31,000","00:04:33,000","Good spring, Mum.",
"00:04:33,199","00:04:37,300",SPEAKER_31,"00:04:33,000","00:04:35,840","Mum, and Mama, I'm starving.",
"00:04:37,300","00:04:39,699",SPEAKER_06,"00:04:35,840","00:04:37,560","Have you got any water, Mellon?",
"00:04:40,300","00:04:43,199",SPEAKER_06,"00:04:37,560","00:04:40,560","No, but there's lots of other things.",
"00:04:48,199","00:04:49,800",SPEAKER_17,"00:04:47,560","00:04:54,560",I can hear a snuff gun.,
"00:05:05,300","00:05:07,600",SPEAKER_32,"00:05:04,560","00:05:09,560",Wouldn't it be quicker to use the stairs?,
"00:05:09,399","00:05:10,500",SPEAKER_16,"00:05:04,560","00:05:09,560",Wouldn't it be quicker to use the stairs?,
"00:05:11,699","00:05:13,000",SPEAKER_16,"00:05:11,560","00:05:13,560",Are you going home now?,
"00:05:14,199","00:05:14,899",SPEAKER_31,"00:05:13,560","00:05:18,560","Yes, thanks very much for letting me spend the winter here.",
"00:05:15,000","00:05:15,000",SPEAKER_31,"00:05:13,560","00:05:18,560","Yes, thanks very much for letting me spend the winter here.",
"00:05:15,100","00:05:17,699",SPEAKER_31,"00:05:13,560","00:05:18,560","Yes, thanks very much for letting me spend the winter here.",
"00:05:18,600","00:05:20,800",SPEAKER_16,"00:05:18,560","00:05:20,560","Don't think your sister will be back yet, though.",
"00:05:21,199","00:05:21,199",SPEAKER_16,"00:05:20,560","00:05:22,560",I'll go anyway.,
"00:05:21,199","00:05:22,399",SPEAKER_31,"00:05:20,560","00:05:22,560",I'll go anyway.,
"00:05:29,300","00:05:30,500",SPEAKER_16,"00:05:28,560","00:05:31,560",Snuff gun!,
"00:05:31,800","00:05:32,899",SPEAKER_07,"00:05:31,560","00:05:33,560","Oh, hello, Mum.",
"00:05:33,500","00:05:35,600",SPEAKER_17,"00:05:31,560","00:05:33,560","Oh, hello, Mum.",
"00:05:36,000","00:05:36,100",SPEAKER_17,"00:05:35,560","00:05:37,560",And you too.,
"00:05:36,100","00:05:37,100",SPEAKER_07,"00:05:35,560","00:05:37,560",And you too.,
"00:05:37,199","00:05:39,000",SPEAKER_17,"00:05:35,560","00:05:37,560",And you too.,
"00:05:39,000","00:05:39,699",SPEAKER_16,"00:05:37,560","00:05:39,560","Jack Arley, weren't you having a good time?",
"00:05:39,699","00:05:39,899",SPEAKER_17,"00:05:39,560","00:05:41,560","Yes, I was.",
"00:05:40,000","00:05:41,300",SPEAKER_07,"00:05:39,560","00:05:41,560","Yes, I was.",
"00:05:42,000","00:05:44,600",SPEAKER_07,"00:05:41,560","00:05:44,560",But I didn't want to miss springtime in Mum and Valley.,
"00:05:44,600","00:05:45,800",SPEAKER_17,"00:05:44,560","00:05:46,560",What did you do?,
"00:05:47,000","00:05:48,199",SPEAKER_07,"00:05:46,560","00:05:48,560",I'll tell you later.,
"00:05:49,199","00:05:52,100",SPEAKER_07,"00:05:48,560","00:05:52,560","Let's go wake up, Snuff, and think of something exciting to do.",
"00:05:52,300","00:05:53,699",SPEAKER_17,"00:05:48,560","00:05:52,560","Let's go wake up, Snuff, and think of something exciting to do.",
"00:05:53,699","00:05:53,800",SPEAKER_16,"00:05:52,560","00:05:54,560",I don't think he'll like it.,
"00:06:03,899","00:06:05,500",SPEAKER_07,"00:06:03,560","00:06:06,560","He's still snoring, Mum, and I'll do it again.",
"00:06:05,699","00:06:06,699",SPEAKER_07,"00:06:03,560","00:06:06,560","He's still snoring, Mum, and I'll do it again.",
"00:06:11,399","00:06:12,399",SPEAKER_07,"00:06:08,560","00:06:12,560","Well, that's done it.",
"00:06:15,000","00:06:15,100",SPEAKER_17,"00:06:14,560","00:06:18,560","Come on, Snuff, it's spring. Snuffkin's here.",
"00:06:15,100","00:06:15,100",SPEAKER_07,"00:06:14,560","00:06:18,560","Come on, Snuff, it's spring. Snuffkin's here.",
"00:06:15,100","00:06:15,100",SPEAKER_17,"00:06:14,560","00:06:18,560","Come on, Snuff, it's spring. Snuffkin's here.",
"00:06:16,000","00:06:23,699",SPEAKER_17,"00:06:14,560","00:06:18,560","Come on, Snuff, it's spring. Snuffkin's here.",
"00:06:24,000","00:06:24,300",SPEAKER_17,"00:06:23,560","00:06:25,560","Like what, Momen?",
"00:06:24,300","00:06:24,500",SPEAKER_34,"00:06:23,560","00:06:25,560","Like what, Momen?",
"00:06:24,500","00:06:24,600",SPEAKER_17,"00:06:23,560","00:06:25,560","Like what, Momen?",
"00:06:24,600","00:06:25,000",SPEAKER_34,"00:06:23,560","00:06:25,560","Like what, Momen?",
"00:06:25,000","00:06:25,100",SPEAKER_17,"00:06:23,560","00:06:25,560","Like what, Momen?",
"00:06:25,100","00:06:25,100",SPEAKER_34,"00:06:23,560","00:06:25,560","Like what, Momen?",
"00:06:25,100","00:06:25,100",SPEAKER_17,"00:06:23,560","00:06:25,560","Like what, Momen?",
"00:06:25,600","00:06:26,000",SPEAKER_13,"00:06:25,560","00:06:28,560",I can think of more exciting things to do than this.,
"00:06:26,699","00:06:29,100",SPEAKER_34,"00:06:25,560","00:06:28,560",I can think of more exciting things to do than this.,
"00:06:29,399","00:06:29,399",SPEAKER_45,"00:06:28,560","00:06:32,560","Well, let's imagine that we're the first ever to climb this mountain.",
"00:06:29,399","00:06:29,500",SPEAKER_17,"00:06:28,560","00:06:32,560","Well, let's imagine that we're the first ever to climb this mountain.",
"00:06:29,500","00:06:29,500",SPEAKER_07,"00:06:28,560","00:06:32,560","Well, let's imagine that we're the first ever to climb this mountain.",
"00:06:29,500","00:06:29,600",SPEAKER_17,"00:06:28,560","00:06:32,560","Well, let's imagine that we're the first ever to climb this mountain.",
"00:06:29,600","00:06:29,800",SPEAKER_07,"00:06:28,560","00:06:32,560","Well, let's imagine that we're the first ever to climb this mountain.",
"00:06:29,800","00:06:29,899",SPEAKER_17,"00:06:28,560","00:06:32,560","Well, let's imagine that we're the first ever to climb this mountain.",
"00:06:29,899","00:06:29,899",SPEAKER_45,"00:06:28,560","00:06:32,560","Well, let's imagine that we're the first ever to climb this mountain.",
"00:06:29,899","00:06:30,000",SPEAKER_17,"00:06:28,560","00:06:32,560","Well, let's imagine that we're the first ever to climb this mountain.",
"00:06:30,000","00:06:30,000",SPEAKER_16,"00:06:28,560","00:06:32,560","Well, let's imagine that we're the first ever to climb this mountain.",
"00:06:30,000","00:06:30,100",SPEAKER_07,"00:06:28,560","00:06:32,560","Well, let's imagine that we're the first ever to climb this mountain.",
"00:06:30,100","00:06:30,199",SPEAKER_16,"00:06:28,560","00:06:32,560","Well, let's imagine that we're the first ever to climb this mountain.",
"00:06:30,199","00:06:30,199",SPEAKER_07,"00:06:28,560","00:06:32,560","Well, let's imagine that we're the first ever to climb this mountain.",
"00:06:30,199","00:06:30,300",SPEAKER_45,"00:06:28,560","00:06:32,560","Well, let's imagine that we're the first ever to climb this mountain.",
"00:06:30,300","00:06:32,800",SPEAKER_16,"00:06:28,560","00:06:32,560","Well, let's imagine that we're the first ever to climb this mountain.",
"00:06:32,899","00:06:38,100",SPEAKER_07,"00:06:32,560","00:06:34,560",It's such a clear day.,
"00:06:38,100","00:06:38,399",SPEAKER_16,"00:06:36,560","00:06:38,560",when we get to the top and the sea.,
"00:06:38,399","00:06:38,399",SPEAKER_07,"00:06:36,560","00:06:38,560",when we get to the top and the sea.,
"00:06:46,399","00:06:49,699",SPEAKER_20,"00:06:45,560","00:06:48,560","Morning, Mum, and are your father and mother up?",
"00:06:46,800","00:06:47,100",SPEAKER_17,"00:06:45,560","00:06:48,560","Morning, Mum, and are your father and mother up?",
"00:06:49,300","00:06:51,100",SPEAKER_17,"00:06:48,560","00:06:49,560",Yes.,
"00:06:52,800","00:06:53,000",SPEAKER_20,"00:06:52,560","00:06:53,560",Good.,
"00:06:53,000","00:06:53,399",SPEAKER_21,"00:06:52,560","00:06:53,560",Good.,
"00:06:53,600","00:06:57,399",SPEAKER_21,"00:06:53,560","00:06:56,560",I'll never understand how you can sleep for months on end.,
"00:06:57,399","00:06:57,399",SPEAKER_14,"00:06:56,560","00:06:57,560",We like it.,
"00:07:07,100","00:07:09,800",SPEAKER_34,"00:07:05,560","00:07:09,560",Why do they always have to do something exciting?,
"00:07:13,600","00:07:14,100",SPEAKER_45,"00:07:13,560","00:07:15,560",What a gorgeous view.,
"00:07:14,100","00:07:14,399",SPEAKER_34,"00:07:13,560","00:07:15,560",What a gorgeous view.,
"00:07:14,399","00:07:15,000",SPEAKER_45,"00:07:13,560","00:07:15,560",What a gorgeous view.,
"00:07:15,000","00:07:15,199",SPEAKER_34,"00:07:13,560","00:07:15,560",What a gorgeous view.,
"00:07:15,199","00:07:15,300",SPEAKER_45,"00:07:13,560","00:07:15,560",What a gorgeous view.,
"00:07:15,300","00:07:15,300",SPEAKER_34,"00:07:13,560","00:07:15,560",What a gorgeous view.,
"00:07:15,899","00:07:17,399",SPEAKER_07,"00:07:15,560","00:07:17,560",It really is.,
"00:07:18,500","00:07:21,000",SPEAKER_34,"00:07:17,560","00:07:21,560","Hey, look, they're small coming from Mum and House.",
"00:07:18,600","00:07:18,800",SPEAKER_41,"00:07:17,560","00:07:21,560","Hey, look, they're small coming from Mum and House.",
"00:07:20,600","00:07:20,899",SPEAKER_41,"00:07:17,560","00:07:21,560","Hey, look, they're small coming from Mum and House.",
"00:07:21,000","00:07:21,300",SPEAKER_41,"00:07:17,560","00:07:21,560","Hey, look, they're small coming from Mum and House.",
"00:07:22,199","00:07:22,199",SPEAKER_34,"00:07:21,560","00:07:23,560",We should have stayed at home.,
"00:07:22,199","00:07:26,000",SPEAKER_41,"00:07:21,560","00:07:23,560",We should have stayed at home.,
"00:07:27,000","00:07:27,100",SPEAKER_45,"00:07:26,560","00:07:27,560",Look.,
"00:07:27,100","00:07:27,399",SPEAKER_41,"00:07:26,560","00:07:27,560",Look.,
"00:07:27,399","00:07:27,600",SPEAKER_45,"00:07:26,560","00:07:27,560",Look.,
"00:07:28,000","00:07:28,600",SPEAKER_41,"00:07:27,560","00:07:28,560",What is it?,
"00:07:29,100","00:07:32,300",SPEAKER_45,"00:07:28,560","00:07:30,560",We're not the first here after all.,
"00:07:34,600","00:07:36,199",SPEAKER_13,"00:07:34,560","00:07:35,560",Top hat.,
"00:07:34,600","00:07:35,300",SPEAKER_07,"00:07:34,560","00:07:35,560",Top hat.,
"00:07:35,300","00:07:35,300",SPEAKER_41,"00:07:34,560","00:07:35,560",Top hat.,
"00:07:39,600","00:07:41,600",SPEAKER_41,"00:07:39,560","00:07:41,560","Hmm, a rather large one.",
"00:07:41,600","00:07:41,600",SPEAKER_34,"00:07:41,560","00:07:43,560",I wonder who's how it is.,
"00:07:41,600","00:07:41,600",SPEAKER_41,"00:07:41,560","00:07:43,560",I wonder who's how it is.,
"00:07:42,199","00:07:42,300",SPEAKER_41,"00:07:41,560","00:07:43,560",I wonder who's how it is.,
"00:07:42,300","00:07:43,899",SPEAKER_34,"00:07:41,560","00:07:43,560",I wonder who's how it is.,
"00:07:46,699","00:07:49,100",SPEAKER_45,"00:07:46,560","00:07:49,560","I don't know, but I know Papa would like it.",
"00:07:54,600","00:07:57,300",SPEAKER_10,"00:07:54,560","00:07:57,560","Hmm, it's much too big.",
"00:08:01,699","00:08:03,899",SPEAKER_10,"00:08:01,560","00:08:03,560","Oh dear, what's it?",
"00:08:05,199","00:08:05,600",SPEAKER_09,"00:08:04,560","00:08:06,560",It really gets inside.,G00
"00:08:05,899","00:08:05,899",SPEAKER_09,"00:08:04,560","00:08:06,560",It really gets inside.,G00
"00:08:06,000","00:08:06,000",SPEAKER_13,"00:08:04,560","00:08:06,560",It really gets inside.,
"00:08:24,800","00:08:28,100",SPEAKER_10,"00:08:24,560","00:08:26,560","Oh, that's enough nonsense.",
"00:08:32,200","00:08:35,200",SPEAKER_10,"00:08:30,560","00:08:32,560",What's the matter?,
"00:08:39,200","00:08:41,200",SPEAKER_10,"00:08:38,560","00:08:39,560",I'll give you a hand.,
"00:08:46,700","00:08:48,799",SPEAKER_10,"00:08:46,560","00:08:48,560","Oh, that's better.",
"00:08:48,200","00:08:48,299",SPEAKER_06,"00:08:46,560","00:08:48,560","Oh, that's better.",
"00:08:49,200","00:08:51,000",SPEAKER_06,"00:08:48,560","00:08:49,560",Thank you.,
"00:08:51,000","00:08:53,000",SPEAKER_45,"00:08:50,560","00:08:53,560","Papa's head got stuck in the hat, Mum.",
"00:08:53,000","00:08:53,100",SPEAKER_17,"00:08:50,560","00:08:53,560","Papa's head got stuck in the hat, Mum.",
"00:08:53,200","00:08:55,100",SPEAKER_06,"00:08:50,560","00:08:53,560","Papa's head got stuck in the hat, Mum.",
"00:08:55,100","00:08:59,500",SPEAKER_10,"00:08:53,560","00:08:55,560","Oh, yes, and where did that come from?",
"00:09:00,100","00:09:01,399",SPEAKER_45,"00:08:56,560","00:09:00,560",The children found it when they were out and brought it back for me.,
"00:09:05,100","00:09:07,399",SPEAKER_10,"00:09:03,560","00:09:05,560","What shall we do with it, Papa?",
"00:09:07,399","00:09:08,899",SPEAKER_45,"00:09:05,560","00:09:07,560",There is something strange about it.,
"00:09:09,700","00:09:09,700",SPEAKER_45,"00:09:09,560","00:09:12,560","Oh, no, it's too good for that.",
"00:09:09,700","00:09:12,200",SPEAKER_06,"00:09:09,560","00:09:12,560","Oh, no, it's too good for that.",
"00:09:12,799","00:09:14,799",SPEAKER_10,"00:09:12,560","00:09:14,560",Do we know anyone with a very big hand?,
"00:09:14,299","00:09:16,100",SPEAKER_06,"00:09:12,560","00:09:14,560",Do we know anyone with a very big hand?,
"00:09:17,899","00:09:19,500",SPEAKER_06,"00:09:17,560","00:09:19,560",I know what we can do with it.,
"00:09:19,799","00:09:20,000",SPEAKER_10,"00:09:19,560","00:09:23,560","Ah, it's a...",
"00:09:20,000","00:09:20,799",SPEAKER_07,"00:09:19,560","00:09:23,560","Ah, it's a...",
"00:09:21,000","00:09:21,100",SPEAKER_07,"00:09:19,560","00:09:23,560","Ah, it's a...",
"00:09:21,200","00:09:25,600",SPEAKER_07,"00:09:19,560","00:09:23,560","Ah, it's a...",
"00:09:25,100","00:09:27,399",SPEAKER_06,"00:09:23,560","00:09:25,560","A waste paper basket, Mum and Mama.",
"00:09:27,899","00:09:28,700",SPEAKER_07,"00:09:27,560","00:09:29,560",That was easy.,
"00:09:29,600","00:09:30,799",SPEAKER_06,"00:09:29,560","00:09:33,560","Come on, Snuffkin. Come and have some breakfast with us.",
"00:09:31,100","00:09:33,000",SPEAKER_06,"00:09:29,560","00:09:33,560","Come on, Snuffkin. Come and have some breakfast with us.",
"00:09:48,399","00:09:49,299",SPEAKER_15,"00:09:47,560","00:09:49,560",Beautiful.,
"00:09:49,299","00:09:49,299",SPEAKER_14,"00:09:47,560","00:09:49,560",Beautiful.,
"00:10:07,700","00:10:08,600",SPEAKER_05,"00:10:06,560","00:10:08,560","Do you want to come with me, Snork?",
"00:10:09,500","00:10:12,500",SPEAKER_18,"00:10:08,560","00:10:09,560",Uh-huh.,
"00:10:12,500","00:10:12,500",SPEAKER_15,"00:10:11,560","00:10:12,560",Uh-huh.,
"00:10:12,500","00:10:13,299",SPEAKER_05,"00:10:11,560","00:10:12,560",Uh-huh.,
"00:10:13,799","00:10:15,399",SPEAKER_18,"00:10:12,560","00:10:14,560","Well, are you coming or not?",
"00:10:15,399","00:10:16,299",SPEAKER_05,"00:10:14,560","00:10:15,560",Uh-huh.,
"00:10:16,799","00:10:16,799",SPEAKER_15,"00:10:16,560","00:10:17,560",Uh-huh.,
"00:10:16,799","00:10:18,500",SPEAKER_18,"00:10:16,560","00:10:17,560",Uh-huh.,
"00:10:18,600","00:10:19,299",SPEAKER_05,"00:10:18,560","00:10:22,560","Well,~] you know my flying ship is almost finished.",
"00:10:20,100","00:10:20,399",SPEAKER_18,"00:10:18,560","00:10:22,560","Well,~] you know my flying ship is almost finished.",
"00:10:20,500","00:10:21,700",SPEAKER_18,"00:10:18,560","00:10:22,560","Well,~] you know my flying ship is almost finished.",
"00:10:21,700","00:10:22,700",SPEAKER_05,"00:10:18,560","00:10:22,560","Well,~] you know my flying ship is almost finished.",
"00:10:22,500","00:10:22,600",SPEAKER_18,"00:10:18,560","00:10:22,560","Well,~] you know my flying ship is almost finished.",
"00:10:23,600","00:10:23,700",SPEAKER_15,"00:10:23,560","00:10:25,560","It'll be ready this year, you'll see.",
"00:10:23,700","00:10:24,700",SPEAKER_05,"00:10:23,560","00:10:25,560","It'll be ready this year, you'll see.",
"00:10:24,299","00:10:24,299",SPEAKER_15,"00:10:23,560","00:10:25,560","It'll be ready this year, you'll see.",
"00:10:24,299","00:10:24,299",SPEAKER_18,"00:10:23,560","00:10:25,560","It'll be ready this year, you'll see.",
"00:10:24,299","00:10:25,399",SPEAKER_15,"00:10:23,560","00:10:25,560","It'll be ready this year, you'll see.",
"00:10:26,799","00:10:34,000",SPEAKER_05,"00:10:25,560","00:10:27,560",This is in his starlet moment.,
"00:10:39,899","00:10:43,200",SPEAKER_05,"00:10:39,560","00:10:42,560",I wonder if you really can make a flying ship.,
"00:10:47,200","00:10:47,200",SPEAKER_45,"00:10:45,560","00:10:47,560",A little bit more.,
"00:10:47,200","00:10:51,000",SPEAKER_17,"00:10:45,560","00:10:47,560",A little bit more.,
"00:10:51,000","00:10:52,100",SPEAKER_31,"00:10:50,560","00:10:52,560","Silly, of course you can't.",
"00:10:52,100","00:10:52,100",SPEAKER_17,"00:10:50,560","00:10:52,560","Silly, of course you can't.",
"00:10:52,100","00:10:56,799",SPEAKER_17,"00:10:50,560","00:10:52,560","Silly, of course you can't.",
"00:10:56,799","00:10:56,799",SPEAKER_45,"00:10:55,560","00:10:57,560",Dreams are all right.,
"00:10:58,100","00:11:00,600",SPEAKER_07,"00:10:57,560","00:11:00,560","Yes, as long as they're not impossible.",
"00:11:01,000","00:11:02,100",SPEAKER_45,"00:11:00,560","00:11:02,560",I suppose so.,
"00:11:07,899","00:11:11,600",SPEAKER_31,"00:11:07,560","00:11:10,560","Snuff, you're not still feeding your face, are you?",
"00:11:12,799","00:11:16,000",SPEAKER_34,"00:11:12,560","00:11:16,560","Only nightmares about having no food at all, little, my.",
"00:11:22,799","00:11:25,500",SPEAKER_10,"00:11:21,560","00:11:25,560","Hmm, I wonder who dropped this.",
"00:11:25,700","00:11:28,000",SPEAKER_10,"00:11:25,560","00:11:28,560",Now where can I put it?,
"00:11:28,899","00:11:30,100",SPEAKER_10,"00:11:28,560","00:11:31,560","Oh, there you are.",
"00:11:30,600","00:11:33,500",SPEAKER_10,"00:11:28,560","00:11:31,560","Oh, there you are.",
"00:12:07,200","00:12:07,299",SPEAKER_17,"00:12:06,560","00:12:07,560",Wow.,
"00:12:07,899","00:12:08,500",SPEAKER_17,"00:12:07,560","00:12:09,560","Golly, what are they?",
"00:12:08,700","00:12:09,399",SPEAKER_17,"00:12:07,560","00:12:09,560","Golly, what are they?",
"00:12:09,899","00:12:10,700",SPEAKER_07,"00:12:09,560","00:12:11,560",They're clouds.,
