Index,Start,End,Text
229,"00:14:50,560","00:14:51,560",I got you now.
230,"00:14:51,560","00:14:52,560",You are going to get away from me.
231,"00:14:52,560","00:14:53,560",Here I go.
232,"00:14:53,560","00:14:54,560",Come on.
233,"00:14:54,560","00:14:55,560",All of that ledge.
234,"00:14:55,560","00:14:56,560",Come on.
235,"00:14:56,560","00:14:57,560",Stop.
236,"00:14:57,560","00:14:59,560",I want you.
237,"00:15:00,560","00:15:01,560",Oh.
238,"00:15:05,560","00:15:06,560","Oh, boy."
239,"00:15:06,560","00:15:07,560",What's happening?
240,"00:15:07,560","00:15:09,560",My cloud's starting to go.
241,"00:15:09,560","00:15:10,560","Oh, whoa, whoa."
242,"00:15:10,560","00:15:11,560",That was fun.
243,"00:15:11,560","00:15:14,560","Yeah, it was, but I wasn't ready to stop."
244,"00:15:14,560","00:15:16,560","Look, there's movement in Snork Maiden."
245,"00:15:16,560","00:15:17,560",Hey.
246,"00:15:17,560","00:15:21,560",Why have they still got cloud snuffed in?
247,"00:15:21,560","00:15:23,560",There's a starting to go as well.
248,"00:15:23,560","00:15:25,560",I think they'd better get off.
249,"00:15:25,560","00:15:26,560",Hey.
250,"00:15:29,560","00:15:38,560",All right.
251,"00:15:38,560","00:15:39,560",All right.
252,"00:15:39,560","00:15:41,560",I'll start counting.
253,"00:15:41,560","00:15:43,560","One, two, three."
254,"00:15:43,560","00:15:45,560","Do you want something, little mime?"
255,"00:15:45,560","00:15:46,560","Oh, yes."
256,"00:15:46,560","00:15:47,560",A place to hide.
257,"00:15:47,560","00:15:49,560",Five...
258,"00:15:49,560","00:15:54,560",Six...
259,"00:15:54,560","00:15:58,560",Seven...
260,"00:15:58,560","00:16:04,560","Boy, I don't think there's any place to hide in here, is there?"
261,"00:16:04,560","00:16:06,560",No!
262,"00:16:06,560","00:16:09,560","Oh, it's too dirty in there."
263,"00:16:09,560","00:16:10,560",I'm gonna have...
264,"00:16:10,560","00:16:11,560",I know.
265,"00:16:11,560","00:16:13,560",I'll hide in the head.
266,"00:16:21,560","00:16:23,560","One, two, one, two, one."
267,"00:16:24,560","00:16:27,560",She hit!
268,"00:16:42,560","00:16:44,560",Oh!
269,"00:16:51,560","00:16:52,560",Gotcha!
270,"00:16:53,560","00:16:55,560",What's going on?
271,"00:16:55,560","00:16:57,560",Huh?
272,"00:16:57,560","00:16:59,560",Huh?
273,"00:16:59,560","00:17:01,560",Huh?
274,"00:17:01,560","00:17:05,560","Snort made, huh?"
275,"00:17:15,560","00:17:19,560",Hehehe!
276,"00:17:19,560","00:17:21,560",Baaah!
277,"00:17:23,560","00:17:25,560",Moomin must be around here somewhere.
278,"00:17:25,560","00:17:29,560","Well, last time I saw him, he was hiding in the fireplace."
279,"00:17:29,560","00:17:31,560",Have you found him yet?
280,"00:17:31,560","00:17:33,560",No. Have you looked in the cellar?
281,"00:17:33,560","00:17:35,560","Yes, I have."
282,"00:17:37,560","00:17:39,560",Wait a minute. Did you hear someone laughing?
283,"00:17:39,560","00:17:41,560",Where'd it come from?
284,"00:17:41,560","00:17:43,560",G.I. better go home.
285,"00:17:43,560","00:17:45,560","Oh, is there anything wrong?"
286,"00:17:45,560","00:17:48,560",Yes. I can't find Moomin anywhere.
287,"00:17:48,560","00:17:50,560","Well, he's too fat to be most places."
288,"00:17:54,560","00:17:56,560",He's coming from under the hat!
289,"00:18:02,560","00:18:04,560","Well, here I am, sniff."
290,"00:18:04,560","00:18:06,560","Oh, on earth are you!"
291,"00:18:08,560","00:18:10,560",I one land didn't I?
292,"00:18:10,560","00:18:12,560",You looked everywhere in the house
293,"00:18:12,560","00:18:14,560","and you couldn't find me, could you?"
294,"00:18:14,560","00:18:16,560",So I won!
295,"00:18:16,560","00:18:18,560",I don't want to find you anyway!
296,"00:18:18,560","00:18:20,560","Well, you were trying hard enough, weren't you?"
297,"00:18:20,560","00:18:22,560","What is this, a new game?"
298,"00:18:22,560","00:18:24,560",My name's Snork Maiden.
299,"00:18:24,560","00:18:26,560",What's yours?
300,"00:18:26,560","00:18:28,560",I'm the king of Moomin Valley.
301,"00:18:28,560","00:18:30,560",My pretty one.
302,"00:18:30,560","00:18:32,560",You're too ugly to be the king of anything.
303,"00:18:32,560","00:18:36,560","Well, now, that's not a very nice thing to say to your friend."
304,"00:18:36,560","00:18:38,560","Is it, Papa?"
305,"00:18:38,560","00:18:42,560","Now, you'd better tell me what you have done with Moomin, huh?"
306,"00:18:42,560","00:18:44,560",But I'm here.
307,"00:18:44,560","00:18:46,560",Right here.
308,"00:18:46,560","00:18:50,560",Who are you? And where is Moomin?
309,"00:18:52,560","00:18:54,560",Papa.
310,"00:18:54,560","00:18:56,560",I'm certainly not your Papa.
311,"00:18:56,560","00:18:58,560","Yes, you are. Come on. I'm Moomin."
312,"00:18:58,560","00:19:00,560",I don't know who you are.
313,"00:19:00,560","00:19:02,560",But you're not Moomin.
314,"00:19:02,560","00:19:04,560",He's nice and handsome and nothing like you.
315,"00:19:04,560","00:19:08,560",Have you looked at yourself in a mirror?
316,"00:19:08,560","00:19:10,560",Ah!
317,"00:19:10,560","00:19:12,560",Where's my nose gone?
318,"00:19:12,560","00:19:14,560",I can't hear it anymore.
319,"00:19:14,560","00:19:16,560",Ah! Oh no!
320,"00:19:16,560","00:19:18,560",My tail's all pushy!
321,"00:19:18,560","00:19:20,560",Ah!
322,"00:19:20,560","00:19:22,560",Oh!
323,"00:19:24,560","00:19:26,560",Ah!
324,"00:19:26,560","00:19:28,560",This is terrible!
325,"00:19:28,560","00:19:30,560",Oh!
326,"00:19:34,560","00:19:36,560",Who are you?
327,"00:19:36,560","00:19:38,560",What have you done with me?
328,"00:19:38,560","00:19:40,560",It must be a nightmare!
329,"00:19:40,560","00:19:42,560",I want to go back!
330,"00:19:42,560","00:19:46,560","Go away, you're horrible!"
331,"00:19:46,560","00:19:48,560","Dear me, what's all this noise?"
332,"00:19:48,560","00:19:50,560",What's happened?
333,"00:19:52,560","00:19:54,560",Mama!
334,"00:19:54,560","00:19:56,560",Mama!
335,"00:19:56,560","00:19:58,560",What earth is this?
336,"00:19:58,560","00:20:00,560","He says he's Moomin, but just look at him."
337,"00:20:00,560","00:20:02,560",You don't look like I'm Moomin.
338,"00:20:02,560","00:20:04,560","I am, I am."
339,"00:20:04,560","00:20:06,560","Please believe me, Mama."
340,"00:20:06,560","00:20:08,560",I am Moomin.
341,"00:20:08,560","00:20:10,560","Well, I don't know."
342,"00:20:10,560","00:20:12,560",I'm sure.
343,"00:20:12,560","00:20:14,560",Something's happened to me.
344,"00:20:14,560","00:20:16,560",Why do I look so different?
345,"00:20:16,560","00:20:18,560",Now then calm down.
346,"00:20:18,560","00:20:20,560",This won't help at all.
347,"00:20:20,560","00:20:22,560",We don't need all this noise.
348,"00:20:22,560","00:20:24,560","If you really are Moomin,"
349,"00:20:24,560","00:20:26,560",then everything will be all right.
350,"00:20:26,560","00:20:28,560",Just give me a minute or two and I'll know.
351,"00:20:28,560","00:20:30,560","Mama, call me Moomin, please."
352,"00:20:30,560","00:20:32,560","I don't know what's happened, but I am me."
353,"00:20:32,560","00:20:34,560","Honestly, I am."
354,"00:20:34,560","00:20:36,560","Mama, please believeed me."
355,"00:20:36,560","00:20:38,560",Let me see.
356,"00:20:38,560","00:20:40,560","Oh, Mama, you do know it's me."
357,"00:20:40,560","00:20:42,560",You must.
358,"00:20:42,560","00:20:44,560",You can't forget your little Moomin.
359,"00:20:44,560","00:20:46,560","Please, Mama, please, Mama."
360,"00:20:46,560","00:20:48,560","Oh, hush now, hush now."
361,"00:20:56,560","00:20:58,560",Mama!
362,"00:20:58,560","00:21:00,560",Shh!
363,"00:21:00,560","00:21:06,560","Yes, you're my little Moomin, all right."
364,"00:21:06,560","00:21:08,560","Oh, Mama!"
365,"00:21:20,560","00:21:22,560",Oh.
366,"00:21:25,560","00:21:28,560","Oh, Moomin."
367,"00:21:28,560","00:21:29,560",Papa.
368,"00:21:29,560","00:21:31,560","Oh, Moomin, my boy."
369,"00:21:31,560","00:21:33,560",Where were you hiding?
370,"00:21:33,560","00:21:35,560",In there.
371,"00:21:35,560","00:21:37,560",In the hat?
372,"00:21:45,560","00:21:49,560",Let's hope it's the last we'll see of it.
373,"00:21:49,560","00:21:53,560","Moomin Papa decided that although it was a fine hat,"
374,"00:21:53,560","00:21:55,560",it was too dangerous to keep.
375,"00:21:55,560","00:21:59,560",So Moomin threw it in the river and it floated away.
376,"00:21:59,560","00:22:01,560","He wasn't too sure about it though,"
377,"00:22:01,560","00:22:05,560",because it was a rather special hat.
378,"00:22:25,560","00:22:29,560",The Moomin's are having fun day after day.
379,"00:22:29,560","00:22:31,560",The Moomin's.
380,"00:22:31,560","00:22:35,560",The Moomin's.
381,"00:22:35,560","00:22:39,560",They love the laughter and they love the living.
382,"00:22:39,560","00:22:43,560",The Moomin's.
383,"00:22:43,560","00:22:49,560",They're leaving and sharing and caring and giving the Moomin's.
384,"00:22:49,560","00:22:53,560",They're always happy and goes at play.
385,"00:22:53,560","00:22:57,560",The Moomin's are having fun day after day.
386,"00:22:57,560","00:23:01,560",The Moomin's.
387,"00:23:01,560","00:23:05,560",The Moomin's.
388,"00:23:05,560","00:23:11,560",The Moomin's.
389,"00:23:23,560","00:23:27,560",Here they are for one and all.
390,"00:23:27,560","00:23:31,560",The Moomin's are about to call.
391,"00:23:31,560","00:23:35,560",Come on and sit down here with me.
392,"00:23:35,560","00:23:39,560",They're here for you on your TV.
393,"00:23:39,560","00:23:43,560",They are the Moomin's.
394,"00:23:43,560","00:23:47,560",They are the Moomin's.
395,"00:23:47,560","00:23:51,560","So come with me, give me your hand."
396,"00:23:51,560","00:23:55,560",You can fly just like a bird.
397,"00:23:55,560","00:23:57,560",Sing that song ever.
398,"00:23:57,560","00:24:01,560",There were the Moomin's.
399,"00:24:01,560","00:24:05,560",There were the Moomin's.
400,"00:24:05,560","00:24:09,560",There were the Moomin's.
401,"00:24:09,560","00:24:13,560",There were the Moomin's.
402,"00:24:13,560","00:24:17,560",There were the Moomin's.
403,"00:24:17,560","00:24:23,560",There were the Moomin's.
404,"00:24:23,560","00:24:27,560",There were the Moomin's.
405,"00:24:27,560","00:24:31,560",There were the Moomin's.
406,"00:24:31,560","00:24:35,560",There were the Moomin's.
407,"00:24:35,560","00:24:39,560",There were the Moomin's.
408,"00:24:39,560","00:24:43,560",There were the Moomin's.
409,"00:24:43,560","00:24:49,560",There were the Moomin's.
410,"00:24:49,560","00:24:53,560",There were the Moomin's.
411,"00:24:53,560","00:24:57,560",There were the Moomin's.
412,"00:24:57,560","00:25:01,560",There were the Moomin's.
413,"00:25:01,560","00:25:05,560",There were the Moomin's.
414,"00:25:05,560","00:25:09,560",Snuffkin is put up his tent on the riverbank.
415,"00:25:09,560","00:25:12,560",He likes being on his own and has decided to stay there until winter comes.
416,"00:25:12,560","00:25:16,560",Snuffkin is a happy and a peace with the world.
417,"00:25:16,560","00:25:22,560",Moomin loves to spend as much time as he can as a friend as Snuffkin.
418,"00:25:22,560","00:25:24,560",Snuffkin?
419,"00:25:24,560","00:25:26,560",Snuffkin?
420,"00:25:26,560","00:25:28,560",Where are you?
421,"00:25:28,560","00:25:32,560",He must have forgotten I was coming and gone off somewhere.
422,"00:25:32,560","00:25:36,560",How can he enjoy being here on his own?
423,"00:25:36,560","00:25:38,560",I'd like to be alone now and then you know.
424,"00:25:38,560","00:25:40,560","Oh, silly, let's go and explore."
425,"00:25:40,560","00:25:41,560",Maiden.
426,"00:25:41,560","00:25:43,520",But we said we'd go today.
427,"00:25:43,520","00:25:45,200","Yeah, we did too, Moomin."
428,"00:25:45,200","00:25:47,480","You are the one that said it, you know."
429,"00:25:47,480","00:25:48,480","Hmm, you did."
430,"00:25:48,480","00:25:49,560",I didn't.
431,"00:25:49,560","00:25:50,760",You did too.
432,"00:25:50,760","00:25:52,200","Oh, you must come."
433,"00:25:52,200","00:25:54,960",We're going to collect shells on the beach.
434,"00:25:54,960","00:25:56,280","Come on, it'll be fun."
435,"00:25:56,280","00:25:57,120","Oh, no."
436,"00:26:01,120","00:26:02,440",Hey.
437,"00:26:02,440","00:26:04,160",It's sniff.
438,"00:26:04,160","00:26:05,960",Where are you guys going?
439,"00:26:05,960","00:26:08,360","Oh, I envy Snuffkin."
440,"00:26:08,360","00:26:09,400","Oh, why?"
441,"00:26:09,400","00:26:11,120",I just do.
442,"00:26:11,120","00:26:13,960",I wonder where Snuffkin has gone.
443,"00:26:13,960","00:26:23,600",I wonder if we'll ever find anything as exciting as the hat.
444,"00:26:23,600","00:26:26,200","Yeah, it was very special that hat."
445,"00:26:26,200","00:26:28,320",Did you really throw it in the river?
446,"00:26:28,320","00:26:29,320",Yeah.
447,"00:26:29,320","00:26:30,760",I wish you hadn't.
448,"00:26:30,760","00:26:32,880",It was much too dangerous to keep.
449,"00:26:32,880","00:26:35,400",Look at the horrible things it did to me.
450,"00:26:35,400","00:26:37,720",But what about the eggshells it turned into clouds?
451,"00:26:37,720","00:26:40,400","Yeah, it was good fun flying around."
452,"00:26:40,400","00:26:43,280",Perhaps I'll find the nicer with a huge pearl inside.
